Gender,10percentage,12percentage,Specialization,collegeGPA,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Salary
f,87.8,84,instrumentation and control engineering,73.82,Delhi,2013,650,665,810,0.694479328,485,366,-1,-1,-1,-1,-1,-0.159,0.3789,1.2396,0.1459,0.2889,445000
m,57,64.5,computer science & engineering,65,Uttar Pradesh,2014,440,435,210,0.3423149,365,-1,-1,-1,-1,-1,-1,1.1336,0.0459,1.2396,0.5262,-0.2859,110000
m,77.33,85.17,electronics & telecommunications,61.94,Maharashtra,2011,485,475,505,0.824666401,-1,400,-1,-1,-1,260,-1,0.51,-0.1232,1.5428,-0.2902,-0.2875,255000
m,84.3,86,computer science & engineering,80.4,Delhi,2013,675,620,635,0.990008757,655,-1,-1,-1,-1,-1,-1,-0.4463,0.2124,0.3174,0.2727,0.4805,420000
f,82,75,biotechnology,64.3,Tamil Nadu,2012,575,495,365,0.278457409,315,-1,-1,-1,-1,-1,-1,-1.4992,-0.7473,-1.0697,0.06223,0.1864,200000
f,83.16,77,instrumentation and control engineering,99.93,Punjab,2013,535,595,620,0.376059587,455,300,-1,-1,-1,313,-1,0.8463,-0.6201,-0.7585,-0.995,-0.2859,440000
f,72.5,53.2,mechanical engineering,68,West Bengal,2013,510,495,405,0.8295846,-1,-1,-1,469,-1,-1,-1,0.1282,-0.4536,0.3174,0.9066,-0.0943,150000
f,77,88,computer science & engineering,71,Telangana,2013,370,470,280,0.704090412,465,-1,-1,-1,-1,-1,-1,0.1282,0.5454,0.4711,0.9066,-0.2859,105000
m,76.8,87.7,information technology,73.15,Andhra Pradesh,2014,510,555,440,0.744758354,525,-1,438,-1,-1,-1,-1,-0.159,-0.4536,0.1637,0.5262,-0.0943,195000
f,57,73,computer science & engineering,70.08,Uttar Pradesh,2014,500,410,560,0.622642916,385,-1,407,-1,-1,-1,-1,-0.7335,-0.4536,-0.2974,1.4136,0.6721,200000
m,77,75,electronics & telecommunications,62,Maharashtra,2013,675,630,485,0.20739217,405,260,-1,-1,-1,-1,-1,1.7081,0.5454,0.9322,-0.4879,0.8637,335000
m,81.2,79.9,instrumentation and control engineering,67.67,Uttar Pradesh,2013,395,565,645,-1,495,-1,376,-1,-1,-1,-1,0.7027,0.7119,0.01,-0.995,0.6721,300000
f,85,88,information technology,85,Haryana,2013,495,445,605,0.765673581,485,-1,-1,-1,-1,-1,-1,-1.9629,-2.1903,-2.775,0.4148,-0.4455,480000
f,90,82.1,computer science & engineering,85,Telangana,2014,640,530,705,0.486747008,615,-1,376,-1,-1,-1,-1,0.99,0.7119,-0.1437,-1.1218,0.8637,550000
m,86.4,86.2,electronics and communication engineering,81.4,West Bengal,2014,720,630,750,0.338786347,485,292,-1,-1,-1,228,-1,1.2772,1.0449,0.7785,-1.2486,0.6721,325000
m,84.13,77,information technology,75.2,Karnataka,2012,385,515,465,0.525922584,415,-1,-1,-1,-1,-1,-1,0.1623,0.9688,1.1074,0.4442,-0.1295,405000
m,81.7,75.8,computer engineering,78.7,Orissa,2011,475,245,485,0.735795709,475,-1,-1,-1,-1,-1,-1,-1.3447,-1.3713,-0.4891,0.1798,1.2923,500000
f,86,89,computer science & engineering,73.9,Uttar Pradesh,2014,520,570,620,0.953899775,425,-1,530,-1,-1,-1,-1,1.2772,0.0459,0.6248,-1.3753,0.6721,210000
m,66.15,54,computer science & engineering,66,Maharashtra,2013,360,495,280,0.793580615,495,-1,-1,-1,-1,-1,-1,-0.1855,-0.1232,-0.4891,-1.2303,-1.3934,400000
m,79.29,68.67,computer science & engineering,76,Tamil Nadu,2013,545,505,595,0.356536488,555,-1,346,-1,-1,-1,-1,0.2718,0.7119,0.3174,-0.1076,1.4386,360000
m,60,50,computer science & engineering,69.94,Orissa,2013,240,340,430,0.143256541,295,-1,-1,-1,-1,-1,-1,-1.8825,-2.2851,-0.2974,-0.2344,-0.6692,240000
f,58.4,64.8,computer application,80,Haryana,2014,440,415,554,0.793580615,495,-1,-1,-1,-1,-1,-1,0.335,0.0924,-0.6582,-0.4821,-0.1543,120000
m,61,59,information technology,63,Karnataka,2011,355,565,495,0.930370607,565,-1,-1,-1,-1,-1,-1,-0.881,0.6568,0.672,1.4724,0.3444,430000
m,50,64,electronics and communication engineering,70,Haryana,2011,345,365,445,0.538386893,-1,333,-1,-1,-1,-1,-1,-0.4173,-1.3713,0.9042,1.5578,0.3444,120000
f,67.06,70.67,computer engineering,55.5,Maharashtra,2012,440,440,385,0.144789889,435,-1,284,-1,-1,-1,-1,1.1336,-0.2871,-0.1437,0.1459,0.2889,120000
f,67,61,computer science & engineering,75,Chhattisgarh,2012,370,410,320,0.488347977,405,-1,-1,-1,-1,-1,-1,-0.159,-0.2871,-0.9122,-0.6147,-0.6692,120000
m,73,71,information technology,61,Rajasthan,2013,180,365,310,0.074546265,255,433,-1,313,-1,-1,322,-2.0262,-1.9521,-2.6028,0.0192,-2.5853,600000
m,86.17,78.6,computer engineering,73.34,Rajasthan,2010,505,495,695,0.987207086,645,-1,-1,-1,-1,-1,-1,-1.4992,0.5008,0.2366,0.6498,0.6603,500000
m,78,75,mechanical engineering,73,Uttar Pradesh,2014,630,555,570,0.066960707,-1,-1,-1,253,-1,-1,-1,1.7081,-0.1206,0.01,-1.7556,0.2889,240000
m,71.8,68.2,electronics and communication engineering,76.5,Punjab,2012,615,590,585,-1,485,-1,-1,-1,-1,-1,-1,-0.159,-0.7866,-0.7585,0.1459,-2.0105,200000
m,66.66,80.4,information technology,64.29,Uttar Pradesh,2011,525,505,575,0.901489571,545,-1,-1,-1,-1,-1,-1,0.0464,0.3448,-0.344,-0.1727,-0.1295,80000
m,85,81,computer science & engineering,76.7,West Bengal,2013,455,530,440,0.622642916,455,-1,407,-1,-1,-1,-1,1.7081,0.8784,1.7007,0.1459,0.8637,330000
f,83.6,74,information technology,71,Uttar Pradesh,2013,615,595,720,0.987207086,645,-1,-1,-1,-1,-1,-1,-0.7335,0.0459,0.6248,-0.6147,0.2889,450000
m,61.69,60.66,computer application,77.5,Punjab,2014,440,605,520,0.356536488,575,-1,346,-1,-1,-1,-1,0.5591,0.3789,0.6248,0.3995,-1.0524,240000
m,85,82,electronics and communication engineering,81,Karnataka,2013,730,525,690,0.694479328,465,366,-1,-1,-1,393,-1,0.99,0.2124,0.6248,0.2727,-1.0524,325000
m,80.13,69.17,computer science and technology,60.34,Maharashtra,2012,590,440,385,0.996744487,475,-1,623,-1,-1,-1,-1,-0.5899,-0.6201,0.4711,-0.3612,-0.2859,215000
m,82.5,85,information technology,75,Tamil Nadu,2013,545,485,530,0.600057182,435,-1,-1,-1,-1,-1,-1,0.1282,-1.9521,-0.6048,0.653,0.6721,315000
m,63.5,65.72,computer science & engineering,60,Andhra Pradesh,2014,430,460,320,0.23780284,355,-1,315,-1,-1,-1,-1,0.5591,1.0449,0.3174,-0.2344,0.6721,220000
m,64,62,computer science & engineering,75,Uttar Pradesh,2014,345,470,365,0.356536488,435,-1,346,-1,-1,-1,-1,-0.3027,-0.4536,-2.4491,1.0333,-0.2859,180000
m,76,61,computer application,85,Orissa,2012,464,475,575,0.960903087,595,-1,-1,-1,-1,-1,-1,-1.4992,-1.3713,-0.6343,0.1798,-1.1169,240000
m,73,76,information technology,74,West Bengal,2013,465,570,415,0.356536488,575,-1,346,-1,-1,-1,-1,-1.5953,-0.1206,0.3174,0.2727,-1.4356,60000
m,91,83,computer engineering,71,Rajasthan,2012,475,495,565,0.930370607,565,-1,-1,-1,-1,-1,-1,1.1283,0.6568,-0.344,-0.7603,-0.4455,165000
m,65,47.6,computer application,63,Karnataka,2013,415,365,475,0.600057182,435,-1,-1,-1,-1,-1,-1,0.2009,-0.7473,0.3817,0.5323,0.3444,180000
m,70.16,66.8,computer application,69.7,Punjab,2014,275,485,530,0.486747008,475,-1,376,-1,-1,-1,-1,-0.4463,-1.1196,0.01,0.5262,-0.0943,150000
m,74.6,80.8,electronics and communication engineering,72.45,Uttar Pradesh,2010,535,415,635,0.960603252,-1,466,-1,-1,-1,-1,-1,0.8192,0.3448,1.1074,-0.1727,1.4502,370000
m,66.5,66.4,electrical engineering,66,Uttar Pradesh,2013,500,560,560,0.376059587,-1,300,-1,-1,-1,-1,-1,-0.5719,0.8351,0.2477,-0.6428,-0.4455,145000
m,78.4,58.4,automobile/automotive engineering,76.5,Orissa,2013,545,535,605,0.986525019,-1,-1,-1,580,-1,-1,-1,-0.3027,1.5444,0.3174,1.5404,0.8637,100000
m,62,62,computer application,72.02,Uttar Pradesh,2010,505,445,575,0.864685413,525,-1,-1,-1,-1,-1,-1,0.0464,0.2668,-1.7954,-0.6428,-1.2354,300000
m,52.93,64,information technology,73,Maharashtra,2014,325,375,370,0.911395278,495,-1,500,-1,-1,-1,-1,0.2718,-0.1206,0.3174,-1.8824,-0.4776,240000
m,82,81,electronics and electrical engineering,64,Uttar Pradesh,2012,625,585,530,0.376059587,-1,300,-1,-1,-1,-1,-1,0.7419,0.8128,-1.6502,-0.8778,-0.2875,500000
m,78,69,electronics and communication engineering,75,Karnataka,2012,355,485,425,0.0587928,325,200,-1,-1,-1,-1,-1,-0.2628,-0.5913,-0.1988,1.2374,-0.169,300000
